frame,face_r_mean,face_g_mean,face_b_mean,ref_r_mean,ref_g_mean,ref_b_mean
353,186.1418595447524,141.03550318520126,127.21155098236969,197.2450864916049,191.92513298998438,191.34501181705505
354,186.1390764831293,141.12786763861052,127.20678913839987,197.2688822682587,191.91821982031917,191.2962039154099
355,186.07566608367057,141.17722230023872,127.41900397033103,197.19428470249505,191.96316312155014,191.08476716167425
356,186.0848706131672,141.16953696493087,127.18066921142332,197.14610807024027,191.9246017998876,191.10054119802612
357,186.14725970560826,141.12559523049623,127.27378687875809,197.13981077315103,191.91496339407377,191.17414566926104
358,185.63359334107824,140.38334758907712,126.46957143404272,196.21659468655935,191.0738585186725,190.23065197810573
359,185.4151485363394,140.05904431195822,126.5169856123374,196.20848056537102,190.94872090964378,190.19117454598643
360,185.20380181537323,139.8947670781683,126.38840305881452,196.150611638452,190.90075983279058,190.13215085798748
361,184.9924678607448,139.71691922738125,126.05522717697974,196.11584563153883,190.85978121126738,189.993363972994
362,184.48804432472457,139.07329154485453,125.3918499699991,195.09564501104722,189.9350408400502,189.12201205570568
363,184.4004161826097,138.93688322630888,125.25530122173852,195.01286403843045,189.9072726852814,189.09199596603463
364,184.22651313017835,138.90966539428834,125.09186656623814,194.77790095229298,189.924463228558,189.09302755259938
365,183.9526241207185,138.78013813177415,125.50618529062568,194.20112858649546,189.93420171366543,188.90196848272092
366,183.94488772005974,138.84929338320717,125.45517100509377,194.2531698191644,189.99193206925486,189.18734073920106
367,184.42606375509058,139.45610294774738,125.94588349440195,195.39817701717516,190.9485592430926,190.02539704535133
368,184.60481801585578,139.65741532726506,126.27833169498666,195.54387707183383,190.94626511774715,190.1882799448794
369,184.86242994472175,139.72037890490355,126.37743677471244,195.72458178402889,191.00466523476294,190.21001254840374
370,185.71988101773243,140.33878030409417,126.84077823594745,197.10646127316258,191.81998044604572,191.25748862560337
371,185.86170226347167,140.49216785180835,127.33272906001456,197.01475014819434,191.91731910667684,191.37104783020393
372,185.99405088662215,140.60402650291712,127.42431476682285,197.14002632855264,191.86721017421496,191.41030970692165
373,186.114590647381,140.6360317115829,127.34732098402931,197.1063073050186,191.8868950014242,191.1785260629576
374,186.05760171579578,140.8221138501998,127.08987501755371,196.9879519927327,191.93704242592207,191.32160096076123
375,186.1446298400378,140.83263331248165,127.15135770001659,197.18902669037777,191.99257103705244,191.23174515192807
376,186.0421161481406,140.94880698574,127.27852319005247,197.01965403358045,192.06487447747062,191.2754028191567
377,186.09443260012,140.9285723404527,127.34795930091535,197.38111734682093,191.9570813798625,191.18746391371624
378,186.19448238883712,140.9881528385952,127.4149059759227,197.29142320453897,192.00443428254695,191.140234185547
379,186.34794653457763,141.0449502751146,127.3573042601269,197.4556456269198,191.98293263123858,191.2806839264956
380,186.37148766133458,141.0968965033001,127.36964930870282,197.45631538834616,191.97673541344295,191.29702764498026
381,186.39772248535064,141.0907431285187,127.30751554301618,197.53605549011908,191.9042703064736,191.2739940106392
382,186.3254267148383,141.06282314792355,127.27563799772759,197.39157948220515,192.01251761010647,191.18958097569612
383,186.22588757963004,140.97260343925137,127.09499431897972,197.6451111265079,191.95308590652593,191.48242838556703
384,186.16707306175078,140.81864140633976,127.21037647929938,197.67929975288112,191.7948990353896,191.41837763766677
385,186.3323333035452,140.6988165604933,127.0167111360764,197.5000038492036,191.8407430502629,191.45358245379032
386,185.86468958649832,139.95202410284563,126.20087832403519,196.6131627366298,190.83510781619282,190.6370277989484
387,185.57382134786994,139.75683956543386,126.35943623852626,196.28477178071856,190.82924932831398,190.59086045097268
388,185.58888562638035,139.65713446783522,126.23242394454303,196.3155423142952,190.79148864100017,190.4537518187487
389,185.60693722791743,139.64315532803104,126.13819560582655,196.33130095383265,190.80753982001124,190.69572045543777
390,185.45270710191366,139.57890235028276,126.31803500529803,196.47680084990415,190.75740779232777,190.76613008768487
391,185.3182009676884,139.4963169115676,126.35064023183669,196.54362302439625,190.69399601222506,190.53983540805407
392,185.4304553752665,139.50655551441957,126.35672977492946,196.57088308428985,190.79325927465607,190.36749886448493
393,185.58505572506414,139.55583357802146,126.20192516372828,196.76638413512245,190.65974579859426,190.40194153829572
394,185.56265080236432,139.60084768482466,126.31830309839016,196.68215586195217,190.7139887757223,190.2740863915256
395,185.4609413897435,139.6864842782551,125.94971339571818,196.33826031394105,190.80259744258913,190.2770964687406
396,185.3579808760261,139.6707433838455,126.01825586294059,196.3597542668422,190.8377252746407,190.1521359230775
397,185.1744903039665,139.7296600324265,126.08285353180733,196.41549073496694,190.81121196024543,190.23655665642778
398,185.29961317996705,139.7302089849485,126.13465933027793,196.61526440179526,190.80320561675788,190.23891236903086
399,185.2241385913623,139.7743166817735,126.02481776052903,196.61741225740394,190.78573023241492,190.25965957643365
400,185.23921563621045,139.80551761116288,126.16620495078577,196.5890051348376,190.82249012679276,190.3340492852029
401,185.17927768061176,139.88763069538243,126.05046533300992,196.45277412103437,190.83607011709276,190.19290668760632
402,185.24557327239535,139.86989825228838,126.26260356691476,196.54701032356405,190.83282908766176,190.1902199434937
403,185.16205589102654,139.91867842871915,126.19572072359603,196.5618836462736,190.78901745228913,190.17670923885848
404,185.04437578991715,139.98332716293677,126.20537207491287,196.40965534230966,190.82610067976935,190.2005666027699
405,185.0581123693046,140.0075321392552,126.27086338742005,196.4778093412473,190.81208188025897,190.00444967936133
406,185.0422565778555,139.9509006651262,126.26658666428362,196.1318429216995,190.9422234539674,190.04242592207672
407,185.10184984233572,139.87914108079815,126.45819662713357,196.1422588666405,190.9451565471104,190.1045289729555
408,184.97956109330917,139.84159528156158,126.24600732787785,196.08836231783644,190.90645665411827,190.15022671809203
409,185.05123131327315,139.72797487584737,126.35573400058725,195.98697429501837,190.97214716275204,190.29388669484283
410,185.00885983837816,139.65795151344935,126.13869349299766,195.82496901391102,190.99090818109732,190.35360323948976
411,184.92126999527645,139.56576578876818,126.22143212776551,195.8713365204739,190.97414874862392,190.62247780934123
412,184.92677228683408,139.47610779895572,126.01674943508955,195.9878519134391,190.883299845262,190.39432781357536
413,184.97682909703693,139.43065963667001,126.1388977544012,196.25967497324802,190.89226079124228,190.54124421657158
414,184.98078666173035,139.386232781402,126.16287293664067,196.42132612762418,190.84196709700763,190.60729655034373
415,184.9852676462703,139.4170124216466,126.0231326039499,196.08352771811514,190.96795153082826,190.71435060086068
416,184.98326333124817,139.38696046265207,126.0234389960552,195.93635726768133,191.0412095737392,190.96918327598019
417,184.93275969922507,139.45491567833935,126.11383743345546,196.1629521851929,190.95263939890836,190.68085483113543
418,184.91083989735864,139.4932529905146,126.18958011515237,196.0615564639676,190.99357952839557,190.66942269644412
419,184.9942040826748,139.437106637219,126.14671075308627,196.3369053942739,190.95767415721687,190.59894377853223
420,184.82171809373045,139.452234747418,126.12772720889558,196.33974610653055,191.0223484761003,190.66472666805237
421,184.6370147195874,139.47020975092875,126.36041924653075,196.44954848841775,191.01646689299983,190.84222884285242
422,184.868315226411,139.49611265016404,126.22440668445444,196.5908373557511,190.97240121018962,190.67612031070772
423,184.9147591630389,139.48026962505267,126.34495921155099,196.50737892330076,190.9330238573639,190.62752796446415
424,185.01409403684366,139.47444817505203,126.19037162809104,196.8271322663341,190.8202652871121,190.62752796446415
425,185.07089147336305,139.45077938491784,126.1580217283068,196.67329499526548,190.93209235009277,190.45661562622692
426,185.08848348674215,139.5208155136536,126.20661040967178,196.74196478748547,190.88560166901468,190.5376567588166
427,184.9909869655692,139.5624337746231,125.96715221304464,196.67525808910136,190.81125045228143,190.3354349984988
428,185.05146110735214,139.6098862519309,125.90690786534067,196.6180281299799,190.86974295018362,190.41563700470374
429,185.02526458234925,139.6945015383437,126.03159668585873,196.51446145792437,191.02954648683186,190.70605171789956
430,185.00560442225938,139.7333622703655,126.02793274693289,196.45505284956542,191.06208765406438,190.71886186747963
431,184.99158698344206,139.62815488120924,126.25015638763708,196.27028337836902,191.09024842760033,190.74749224385474
432,184.89264786610664,139.5828088496253,126.24115611954399,196.3870451203646,190.97999183968838,190.5891975950176
433,184.78467018166498,139.48260586485554,126.04774610307541,196.30129256256882,190.96997621192176,190.4896571899274
434,184.71626814415748,139.4641329741737,125.82147553331376,196.33956134475778,190.96122312293588,190.3783998090795
435,184.7672951960271,139.29591094202806,125.98512721655538,196.35672879281276,190.95265479572276,190.5151081241291
436,184.6367083274821,139.27821679794718,125.59697948449528,196.32457254594024,190.93010616103527,190.30334803729107
437,184.6934546986506,139.20528271054883,125.35037213874456,196.48831766707468,190.92411680023403,190.2481658544847
438,184.67494350895558,139.11704178422335,125.20510398182074,196.52196740494392,190.81954163683534,190.22151396875987
439,184.6516321762776,139.08216414957042,125.24000714914912,196.3666289444714,190.85748708592192,189.88606357344665
440,184.6016774967765,139.02943917478393,125.23219415046405,196.26242330461827,190.8235448085791,189.82941099486516
441,184.48303992033806,139.0029745566889,125.41288889456281,195.97894485630923,190.9296750502321,189.88777261984495
442,184.55398245905198,139.02512415263433,125.30155366330061,195.91019038161005,190.95816685527765,189.94734289475508
443,184.49995531781798,139.02845616677945,125.24511368423741,196.08353541652232,190.9419925017514,189.94969090895094
444,184.49838505827833,139.0514355746767,125.35069129718758,195.98922222992064,190.94410956373127,189.96878295880583
445,184.57406390828663,139.06812117807763,125.46720966156438,196.02762188503198,190.928127670385,189.986381517664
446,184.6019711225441,139.09291340593123,125.56474448175052,196.1643763905248,190.9159102981593,190.11434444213492
447,184.57299153591808,139.1209482835659,125.80344946445213,196.0412095737392,190.92366259420925,190.0480149657036
448,184.51328337439838,139.15651530045577,125.82794806653816,195.98947627735822,190.95302431926834,190.01839149479972
449,184.59410705850811,139.18161392041466,125.68087985599571,196.0992093735806,190.88035135530458,190.19575509827015
450,184.7277450817684,139.20999348916777,125.6743945564336,196.181474552915,190.91864323271514,190.17159749647797
451,184.58753239458196,139.31287740485888,126.0187537501117,196.51804891567934,190.9433859134545,190.86705620607097
452,184.1271271910227,138.72794934317193,125.34896784159528,195.45271253377678,190.05371178703126,189.91616434559688
453,183.32309047503543,137.91524428387228,124.39257765124918,194.31098485723305,189.00110857063675,188.71858472482043
454,182.5087896235207,137.11427148893796,123.60563506146991,193.3236333402619,188.0858988275326,187.7020485461558
455,182.33389079674714,137.04953339035632,123.0099322107467,193.25074482089656,187.97691247680854,187.60587234501182
456,182.39127548480167,136.8994523241118,122.94145357521288,193.18603970838433,187.98232445706984,187.47670846901775
457,182.71734051652604,137.281880736873,123.52612631014541,193.92745790895864,188.7222645634618,188.1165230913724
458,182.85448928265947,137.5018830348138,123.6280144514943,194.0139341170312,188.81908743081055,188.42838556702617
459,182.97123744111528,137.46701816649858,123.92764039779908,194.23233792928244,188.79807077915578,188.154391556387
460,183.45083045026874,138.00488950734703,124.52853914797463,195.06416622400826,189.64069993918258,189.26610314325967
461,183.9185124663288,138.07878107007443,124.60282646717137,195.1249605456631,189.8407892407061,189.35849172806147
462,183.97164596392233,138.10635635955114,124.86264697246301,195.11879412149625,189.84279852498517,189.38194107639129
463,184.4054716523471,138.7155404629074,125.70165068746729,196.294741218042,190.7427423266126,190.48267473459742
464,184.5286540450141,138.9431897971429,125.80184090589933,196.3990161435599,190.7486162113059,190.56089825015204
465,184.9070610613933,138.9758333226947,126.22913022941108,196.55604055520914,190.74672240313478,190.49051941153374
466,185.45437949215508,139.59067291366125,126.65366202397519,197.36706775368177,191.53222168333372,191.2020293001378
467,185.6856289336278,139.84842527224214,126.51507066167929,197.1657544054135,191.73991701117038,191.2945256626404
468,185.8519232487776,139.94588349440195,126.54514815334925,197.041432827548,191.8236679830943,191.29380971077083
469,186.14282978641916,140.73329843867688,127.02391135055086,197.69792219989685,192.78163467978476,191.9999769047784
470,186.23087921767882,140.93790453332653,127.22934725715234,197.78548388338453,192.9077037960846,192.14268227903648
471,186.4083057793211,141.0845514547242,127.3491721029988,197.83778686189828,192.92556410078754,192.15072711456
472,186.51574727757847,141.1047222683229,127.54705033766963,197.914124267689,192.94580321331517,192.1965788278405
473,186.5770001659624,141.08988778389144,127.69180784108462,198.05566718245996,192.93250036567434,192.0942054089009
474,186.60733298438677,141.15128110199026,127.58519615477908,197.88721833452658,192.98682802528157,192.14643140334266
475,186.5544292808722,141.1966398999119,127.76996336061075,198.02824545601516,192.94955233762136,192.2483429178503
476,185.91890822279814,140.63218904392897,127.1651708774304,197.1629906772289,192.0376298143914,191.38006266503461
477,185.74317958407272,140.56759137506225,126.81118586511087,197.16060417099703,191.9231314041125,191.21889651031202
478,185.69982510117322,140.5227304643117,126.95958177477627,197.07721502421148,191.95122289198366,191.09788524754228
479,185.11250973433252,139.94588349440195,126.20249964892571,196.25772727622655,191.0138186409232,190.0652978898666
480,185.00187665164495,139.80316860502228,126.19773780495589,196.3697237041656,190.82617766384135,190.1198180096538
481,184.63243160434567,139.6436915142153,125.93736834714225,196.15086568588958,190.90051348376022,190.26820480842514
482,184.70945091981463,139.6042690633338,125.78740217793721,196.18079709308145,190.88911984110487,190.20443120318407
483,184.69824207529587,139.55533569085037,125.90732915448545,196.28560320869613,190.83139718392263,190.19943493691156
484,184.8482210108386,139.4164507027869,125.87523458145562,196.27190004388092,190.83644733904555,190.16483059654956
485,184.78349567859468,139.32989493304055,125.95024958190244,196.37943139564425,190.81814822513223,190.22379269729092
486,184.8218712897831,139.19660160089876,125.97021613409761,196.51215193576448,190.77685396891383,190.30922962039153
487,184.83429293638534,139.1757797040763,126.00676615899197,196.39771511274319,190.82115060394005,190.40473606010917
488,184.92458924308383,139.12825062874214,125.91445277093361,196.4007713804014,190.7686628636535,190.31439525162244
489,185.00984284638267,139.1261314166805,125.8834944019609,196.53873453582455,190.78207348899514,190.2238696813629
490,184.99808504934188,139.1078755537399,125.81048371653624,196.56111380555362,190.73105614448372,190.2004511266619
491,184.95248369100355,139.0876919738035,125.82165426204185,196.74586018152843,190.59817393781228,190.17807955534
492,185.00393203201799,139.17172000868112,125.75696722881108,196.74382780202777,190.59507917811806,190.0649822551714
493,184.98051856863822,139.28669364619373,125.49246147757593,196.47726275433612,190.6846655426992,189.99393365512677
494,185.02527734868698,139.28184243785986,125.57351495576464,196.6283901860705,190.63500311785492,190.02816847194316
495,184.65099385939155,139.37836871736604,125.7481584557838,196.11046444490634,190.92911306650655,189.91300799864507
496,184.5532547778019,139.45028149774674,125.77198044197061,196.15341385867265,190.9211760086838,189.92197664303256
497,184.41165055980392,139.54447153745005,125.58628129348534,196.10229643486764,190.88477793944432,189.7874854692564
498,184.66898162924002,139.58573234096335,125.45029426408446,196.46603077823198,190.81567703642116,189.8596734335666
499,184.8054154804611,139.55561655028023,125.50591719753355,196.25527148432988,190.83629337090156,189.8218742542168
500,184.71079138527531,139.54187997089275,125.65230879217678,196.16866440333496,190.87737977012557,189.8218357621808
501,184.96230100471078,139.54301617494988,125.96768839922892,195.99100056198372,190.86930414097324,189.97941445914842
502,185.01848565701957,139.62286961739287,125.94003651172588,196.07061748924147,190.82944178849397,189.90642586048946
503,185.1096500746831,139.67491797628014,125.6858714940445,195.96357113713174,190.89797300938434,189.9635865339461
504,185.06033371206803,139.76116735392117,125.82876511215228,195.97203168664404,190.83985003502775,189.94049901075468
505,185.02544331107734,139.75549909997318,125.86357891511662,195.9946188133675,190.8703203307236,189.89627166139326
506,184.90942283387164,139.73803474997126,125.98913584659968,195.9845646935649,190.91218426907471,189.92626465584272
507,184.95889239253935,139.73313247628653,125.70970624656904,196.0292077569151,190.86748731687413,190.12067253285295
508,184.966999016992,139.65806641048883,125.72586843012346,196.02575887048968,190.90996712780125,189.95818995049925
509,184.77337197278217,139.526419935913,125.58658768559063,195.55937396552653,190.90357744982563,189.8169087815731
510,184.7563799772759,139.43808964522347,125.66270059108143,195.5996135399586,190.9024226887457,189.8749316766361
511,184.73066857310644,139.1299613179967,125.70294008757708,195.61729678129595,190.8871490488618,190.26122235309515
512,184.78929159591988,139.18960564782782,125.60467758614087,195.71545917149743,190.89982832551945,190.06067884554685
513,184.6481214334044,139.25375649487432,125.45474971594899,195.73284217495402,190.87401556617937,190.04157909728477
514,184.6949355938262,139.26751860693722,125.42399560837983,195.62150011162691,190.8936926949814,189.93768909212685
515,184.6930972411944,139.24236892162745,125.73107709591349,195.62911383634727,190.87106707622192,190.14528434066992
516,184.6561514598307,139.26167162426114,125.83047580140685,195.67581237441973,190.84864931445685,190.3061733527333
517,184.6497172256195,139.32080530058343,125.89248190371629,195.54463151573938,191.0204392711148,190.40659137624425
518,184.63951692178065,139.3781516896248,125.84436557684697,195.53214469926172,190.9469502759879,190.2673040947828
519,184.62636759392834,139.3320141451022,126.1393956415723,195.03030862914463,191.03903092450173,190.82338314202792
520,184.4545071555323,139.47361836310017,126.05769108015984,194.91490950522336,191.12279729324004,190.87409255025136
521,184.50577676781862,139.47165234709118,126.04122250450014,195.45764721279167,191.00695166170118,190.359400140111
522,184.48381866693902,139.47861000114898,126.13625512249301,195.44811658467864,191.01053911945618,190.23757284617813
523,184.51078117220513,139.5486971952356,125.86006817224343,195.7121796500304,190.91567934594332,189.9711078777801
524,184.45220921474257,139.58270671892353,125.57042550203623,195.66198603508934,190.94922900451897,189.89263801319507
525,184.45939666287933,139.58481316464747,125.74671585962135,195.60033719023534,190.93712710840128,190.15186647882553
526,184.93904073738366,140.23257714059568,126.38024536901099,196.4602646712395,191.83123551737145,191.1848926457116
527,185.20795087513244,140.41218674598818,126.75840982497351,196.17238273401233,191.96824407030186,191.10352048161235
528,185.30982625014363,140.52904980148344,126.82802466456448,195.98866794460227,192.0500088531683,190.98696659661115
529,185.5145217091573,140.56073585170623,126.84792738507105,196.49024226887457,191.94653456199913,190.7208788501659
530,185.59664755971454,140.56524236892162,127.0442225938645,196.62471034742913,191.86941191867402,190.81875639930098
531,185.67824999042526,140.607460647764,127.06265718553318,196.7826431711279,191.92090656443182,190.96302455022055
532,185.7336686624708,140.548633363547,127.16075372457902,196.90965919151327,191.84204408107962,190.9641177240429
533,185.76294187486437,140.4366853480742,127.10057320856366,196.90361594186163,191.8805515138918,191.01398800588157
534,185.5290881004966,140.3924627542097,126.9418365653445,196.77616111226587,191.88838849242092,191.106130241653
535,185.46044350257242,140.28793198095264,126.90264390854196,196.70363441803892,191.90681078084944,190.9708923223785
536,185.34486984718694,140.30505163983608,126.71748094624095,196.69639791527132,191.92741941692265,191.00897634279468
537,185.34520177196768,140.31292847020976,126.33655896133077,196.75127986019692,191.93418631685105,190.84671701424975
538,185.44899209763696,140.19758460890324,126.50461503108603,196.774082542322,191.92542552945795,190.92825854330738
539,185.4782653100305,140.16815820045704,126.6859991574217,197.11854007405867,191.81277473690693,191.26286211382865
540,185.50690020553805,140.16898801240887,126.79937700271923,197.15822536317236,191.85152851874946,191.36162497979169
541,185.56468065006192,140.0805428246799,126.45017936704498,197.164153136716,191.7448054997421,191.23357737284155
542,185.4231147310771,140.07220640614827,126.66759009842846,196.9214377545286,191.80192768116277,191.4021724905117
543,185.49428706387,140.093334695076,126.5947709080696,197.04255679499911,191.71595186955818,191.13657744212722
544,185.54692267429243,140.15417906065287,126.60139663734664,197.05060163052264,191.68759093743503,191.22835015435305
545,185.4128633618874,140.18776729519604,126.92670845514547,196.65546548419132,191.91732680508403,191.14265148540767
546,185.41297825892687,140.24755205474204,126.87559203891179,196.7449594678861,191.94618043526793,191.06546725482497
547,185.30971135310415,140.38230074938403,126.814837037699,196.9299598912985,192.04740679153483,191.16908781573093
